,IBEX
2000-07-07,10896.689453125
2000-07-10,10828.8896484375
2000-07-11,10874.7890625
2000-07-12,10878.689453125
2000-07-13,10848.189453125
2000-07-14,11002.5888671875
2000-07-17,10949.189453125
2000-07-18,10791.4892578125
2000-07-19,10850.689453125
2000-07-20,10986.0888671875
2000-07-21,10879.5888671875
2000-07-24,10831.4892578125
2000-07-25,10714.5888671875
2000-07-26,10743.7890625
2000-07-27,10725.9892578125
2000-07-28,10559.9892578125
2000-07-31,10531.5888671875
2000-08-01,10548.9892578125
2000-08-02,10644.4892578125
2000-08-03,10452.9892578125
2000-08-04,10583.3896484375
2000-08-07,10707.689453125
2000-08-08,10867.5888671875
2000-08-09,10951.8896484375
2000-08-10,11110.587890625
2000-08-11,11094.587890625
2000-08-14,11210.587890625
2000-08-15,11207.888671875
2000-08-16,11342.6884765625
2000-08-17,11155.48828125
2000-08-18,11065.4892578125
2000-08-21,11093.48828125
2000-08-22,10934.5888671875
2000-08-23,10798.0888671875
2000-08-24,10720.0888671875
2000-08-25,10818.2890625
2000-08-28,10907.4892578125
2000-08-29,10840.5888671875
2000-08-30,10869.5888671875
2000-08-31,10884.689453125
2000-09-01,11170.087890625
2000-09-04,11246.2880859375
2000-09-05,11188.1884765625
2000-09-06,11238.48828125
2000-09-07,11282.48828125
2000-09-08,11103.2880859375
2000-09-11,11229.7880859375
2000-09-12,11311.7880859375
2000-09-13,11212.48828125
2000-09-14,11451.587890625
2000-09-15,11463.087890625
2000-09-18,11188.087890625
2000-09-19,11065.4892578125
2000-09-20,10901.2890625
2000-09-21,10803.3896484375
2000-09-22,11029.3896484375
2000-09-25,11159.087890625
2000-09-26,10955.9892578125
2000-09-27,10957.5888671875
2000-09-28,11023.0888671875
2000-09-29,10949.9892578125
2000-10-02,11152.48828125
2000-10-03,11271.1884765625
2000-10-04,11159.2880859375
2000-10-05,11237.2880859375
2000-10-06,11149.98828125
